,document_file_id,link,file,extension
28,83318,https://declarator.org/document/70338/file/83318,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii_(ne_ukazany_FIO).docx""",docx
29,83319,https://declarator.org/document/70338/file/83319,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.xlsx""",xlsx
30,83320,https://declarator.org/document/70338/file/83320,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
31,83321,https://declarator.org/document/70338/file/83321,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.docx""",docx
32,83322,https://declarator.org/document/70338/file/83322,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.doc""",doc
33,83324,https://declarator.org/document/70338/file/83324,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
34,83323,https://declarator.org/document/70338/file/83323,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
35,83325,https://declarator.org/document/70338/file/83325,"attachment; filename=""2018_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
36,83326,https://declarator.org/document/70338/file/83326,"attachment; filename=""2017_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
37,83327,https://declarator.org/document/70338/file/83327,"attachment; filename=""2016_Rukovoditeli,_zamestiteli_i_glavnye_bukhgaltery_podvedomstvennykh_uchrezhdenii.pdf""",pdf
